アッタッチモジュールID,アタッチモジュール名,制御対象モジュールID,制御対象 名前,制御目標 モジュールID,制御目標 モジューID,IKの種類,比例定数,コメント
0: ID,1: name,2: ID,3: name,4: ID,5: name,6: type,7: kp,
100,LB01_y,102,LB01_z_EE01,910,LB01_z_TA01,4: dirx_as_dirx,0.05,ルート座標のIK設定
101,LB01_x,102,LB01_z_EE01,910,LB01_z_TA01,3: dirz_as_dirz,0.1,
102,LB01_z_EE01,102,LB01_z_EE01,910,LB01_z_TA01,3: dirz_as_dirz,0.1,
200,BD01_y,202,BD01_z_EE01,920,BD01_z_TA01,4: dirx_as_dirx,0.1,ボディのIK設定
201,BD01_x,202,BD01_z_EE01,920,BD01_z_TA01,3: dirz_as_dirz,0.1,
202,BD01_z_EE01,202,BD01_z_EE01,920,BD01_z_TA01,3: dirz_as_dirz,0.1,
300,RA01_x,307,RA04_EE,930,RA_TA01,0: pos_to_pos,0.05,右腕のIK設定
301,RA01_z,307,RA04_EE,930,RA_TA01,0: pos_to_pos,0.05,：位置＆EE向き制御
302,RA02_x,307,RA04_EE,930,RA_TA01,0: pos_to_pos,0.05,
303,RA02_y,307,RA04_EE,930,RA_TA01,0: pos_to_pos,0.05,
304,RA03_y,307,RA04_EE,930,RA_TA01,1: dirz_look_pos,0.4,
305,RA03_x,307,RA04_EE,930,RA_TA01,1: dirz_look_pos,0.4,
306,RA03_z,307,RA04_EE,930,RA_TA01,1: dirz_look_pos,0.4,
300,RA01_x,302,RA02_x,931,RA_TA02,0: pos_to_pos,0.2,右腕のIK設定：肘を開く動作
301,RA01_z,302,RA02_x,931,RA_TA02,0: pos_to_pos,0.2,
303,RA02_y,303,RA02_y,930,RA_TA02,4: dirx_as_dirx,0.05,右腕肘抑制：x軸回転を抑制
304,RA03_y,304,RA03_y,930,RA_TA01,4: dirx_as_dirx,0.05,右腕手首抑制：
306,RA03_z,306,RA03_z,930,RA_TA01,4: dirx_as_dirx,0,右腕手首抑制：
400,LA01_x,407,LA04_EE,940,LA_TA01,0: pos_to_pos,0.05,左腕のIK設定
401,LA01_z,407,LA04_EE,940,LA_TA01,0: pos_to_pos,0.05,：位置＆EE向き制御
402,LA02_x,407,LA04_EE,940,LA_TA01,0: pos_to_pos,0.05,
403,LA02_y,407,LA04_EE,940,LA_TA01,0: pos_to_pos,0.05,
404,LA03_y,407,LA04_EE,940,LA_TA01,1: dirz_look_pos,0.4,
405,LA03_x,407,LA04_EE,940,LA_TA01,1: dirz_look_pos,0.4,
406,LA03_z,407,LA04_EE,940,LA_TA01,1: dirz_look_pos,0.4,
400,LArm01_x,402,LArm02_x,941,LA_TA02,0: pos_to_pos,0.2,左腕のIK設定：肘を開く動作
401,LArm01_z,402,LArm02_x,941,LA_TA02,0: pos_to_pos,0.2,
403,LArm02_y,403,LArm02_y,941,LA_TA02,4: dirx_as_dirx,0.05,左腕肘抑制：x軸回転を抑制
404,LArm03_y,404,LArm03_y,940,LA_TA01,4: dirx_as_dirx,0.05,左腕手首抑制：
406,LArm03_z,406,LArm03_z,940,LA_TA01,4: dirx_as_dirx,0,左腕手首抑制：
,,,,,,,,頭のIK設定 : 目標を見る動作
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
